"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25"
"1",0.0382563962430361,0.19167790974777,0.0435747308999976,7.56456205228369e-18,5.37695580679554e-18,1.15494263656697e-20,0.0755487550023615,0.0718632182189616,0,0.00341262366420898,2.23215123990976e-18,0.163826801502729,0,1.53391901579547e-17,2.37098791996997e-17,0.00783213173958667,0,0.0851255997854072,0,0.00925786771595666,3.95398308451724e-18,0.142640784492848,3.60641325999472e-18,0,0.166983180987137
"2",0.0356874026930464,0.193835781509119,0.0479501046733854,0,0,0,0.0672803402008669,0.072603738196453,5.80238723173842e-17,0.0104765320656467,0,0.162050262419626,8.28810135276942e-17,0,4.49138354154311e-18,0,0,0.0794572405498706,0,0.00111577887697527,0,0.161274731157885,0,0,0.168268087657125
"3",0.0415436875158422,0.192610824774708,0.050367811427636,8.07406635274702e-18,1.27394289020356e-17,2.67464954718807e-19,0.0683798957109071,0.0684041113309091,0,0.0103991128069237,0,0.16487977280051,1.18146914633279e-17,0,2.294745115589e-17,2.49086485853238e-19,1.73472347597681e-18,0.076199664976694,3.01878438808382e-16,0.00645808244197273,0,0.147913203636339,2.14630130596489e-18,0,0.172843832577559
"4",0.0391402166928732,0.190380892893119,0.0490474369548685,7.00771003275847e-20,1.35255702764626e-17,5.26396442730747e-18,0.0638716184948094,0.0665292775349255,4.31458095620812e-17,0.0137636641323669,3.532665149583e-19,0.164812537508897,0,0,2.11050413225045e-18,0,0,0.0750996591271624,1.57250653924298e-16,0.0089056202495763,2.02950290554116e-18,0.151465864845307,0,7.63487079767181e-18,0.176983211566095
"5",0.0407518990585282,0.180019830292866,0.0527184986594385,7.52057749532068e-20,0,0,0.0626534385671541,0.0630595020419941,8.3777318765702e-18,0.0208041353585206,0,0.170241451328843,6.57109687450326e-17,0,0,0,0,0.0797542629442496,0,0.00601998491145678,3.74896109891101e-17,0.154121100998844,1.6383996004264e-18,0,0.169855895838106
"6",0.038964744526373,0.191526044007995,0.0514999394038086,0,7.24463156864184e-20,0,0.0606108861855506,0.0697327497017558,0,0.0131176182257066,7.55896853163082e-18,0.165309740728697,1.31036401292459e-16,5.42439480368371e-18,0,0,2.35101027359476e-19,0.0717656689239755,0,0.00162129465873858,1.49604993103351e-17,0.164633199906404,1.02511893834212e-18,0,0.171218113730995
"7",0.0327026554570545,0.193698227388539,0.0469230012481847,3.25782568874354e-18,7.5858174554052e-19,0,0.0686244171066932,0.0708058086022478,0,0.0229136735996472,1.58883864851155e-18,0.176220118665537,0,4.22855428349618e-17,0,0,0,0.0933987319770626,9.29121067069436e-17,0.00490918092434399,0,0.12055322308684,0,3.27586659499392e-17,0.16925096194385
"8",0.0335258120226317,0.205718075497526,0.0336375660857738,0,0,4.18311779085792e-18,0.077207537492811,0.0600002662606555,5.09915062563878e-17,0.0269593469962018,4.00255510241006e-18,0.176981708779836,6.61253738430004e-17,0,0,0,2.67958259755362e-18,0.0860641107302778,0,0.012924605354491,6.87534910350749e-18,0.117017282784031,0,2.38887816358243e-17,0.169963687995764
"9",0.0311378381991308,0.214031123285777,0.0318394338003871,5.67098081157809e-19,1.1986231757316e-17,3.76322678661742e-19,0.0650056506084805,0.0647474019977775,0,0.0170848684988361,9.709404778763e-18,0.17755345954446,1.17466308580012e-18,0,0,0,0,0.0854076757034032,5.4105888490332e-16,0.0203394076574828,5.59123914485929e-18,0.123811484104611,0,2.84813800955469e-17,0.169041656599654
"10",0.0293286456594654,0.204874067531959,0.0332181769019754,9.49707060897451e-18,0,0,0.0678903544674959,0.0649659110098892,3.23138318119231e-18,0.0150340425612786,1.83656067646956e-18,0.176037104108855,0,0,0,0,8.2290292902857e-19,0.0860767518585489,0,0.0183597521435587,2.97067063211891e-18,0.134063776719825,0,2.21880541137712e-17,0.170151417037149
